Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer_Science_Artificial_Intelligence;Computer_Science_Information_Systems;Computer_Science_Interdisciplinary_Applications;Computer_Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Age_dependency_ratio_(%_of_working_age_population);Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(%_of_GDP);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2016;France;481;82;991;214;14;288;198;35;445;196;693;791;682;807;742;2831;495;2283;837;1773;2,08E+12;4,94;60,08;30,25;-0,61;78;60,32;1,33;3,02;2,81E+12;42054,53;23,73;2,28E+12;34122;22,61;21,82;100,61;30,85;0,52;11;79,56;82,88;43,25;66859768;3;5;6;92,91;7;61,1;79,92;259;1
2017;France;195;17;323;75;10;109;91;13;148;82;726;775;720;963;804;2705;478;2336;766;1847;2,18E+12;4,94;60,72;30,82;-1,06;77,69;59,73;1,45;1,99;2,88E+12;43001,59;23,68;2,35E+12;35141,49;23,37;22,48;101,06;31,88;0,46;11;79,37;82,14;44,61;66865144;3;5;6;93,36;7;62,7;80,18;303;0
1980;Germany;828;131;259;202;0;18;18;9;200;316;0;0;0;0;0;2;0;2;0;10;8,12E+11;4,1;52,03;18,62;-4,61;79,71;26,1;-0,02;0,44;2,05E+12;26137,15;20,89;8,87E+11;11327,11;27,21;25,95;106,92;23,23;5,45;10;73,46;74,25;40,08;78288576;3;4;6;114,6;9;41,85;72,84;0;0
1981;Germany;845;107;281;151;0;11;15;13;196;399;0;2;1;2;0;6;1;3;1;17;6,77E+11;4,1;50,59;20,13;-3,91;80,82;27,71;-0,05;0,47;2,06E+12;26235,49;21,43;9,27E+11;11824,13;24,61;24,78;105,43;24,05;4,18;10;72,13;76,27;42,47;78407907;3;4;6;104,8;9;44,18;72,99;0;0
1982;Germany;832;125;310;156;0;7;11;19;177;384;0;1;0;1;1;2;1;2;0;26;6,53E+11;4,1;48,68;20,87;-2,65;80,42;28,97;0,06;0,35;2,05E+12;26156,77;21,12;9,65E+11;12317,73;23,15;23,38;103,57;23,52;4,58;10;73,82;75,33;42,72;78333366;3;4;6;106,71;9;44,39;73,11;0;0
1983;Germany;864;137;348;161;0;3;20;23;179;451;1;3;0;2;0;2;0;5;1;31;6,50E+11;4,1;46,65;20,29;-2,99;80,27;30,07;0,13;0,38;2,08E+12;26637,8;20,86;1,01E+12;12936,85;23,94;23,61;104,21;23,28;2,81;10;74,58;74,82;41,82;78128282;3;4;6;107,38;9;43,58;73,1;0;0
1984;Germany;1011;116;283;130;0;6;14;9;177;330;0;0;1;1;3;2;3;5;3;29;6,14E+11;4,1;44,97;21,73;-2,79;79,87;31,44;0,08;0,65;2,14E+12;27484,62;20,66;1,06E+12;13666,92;23,7;23,15;103,57;24,52;1,99;10;76,51;74,45;44,79;77858685;3;4;6;102,64;9;46,24;72,94;0;0
1985;Germany;1045;103;304;107;1;5;18;16;160;465;0;1;0;0;9;1;1;4;1;47;6,21E+11;4,1;43,9;22,94;-2,04;79,17;32,68;0,07;0,75;2,19E+12;28187,37;20,59;1,11E+12;14315,23;23,12;22,64;102,29;24,98;2,12;10;77,52;75,13;46,74;77684873;3;4;6;99,89;9;47,92;72,71;0;0
1986;Germany;963;130;393;140;7;10;30;14;139;423;4;0;1;1;9;5;0;5;2;40;8,84E+11;4,1;43,45;21,29;-0,37;77,59;33,66;0,11;0,9;2,24E+12;28818,91;20,48;1,17E+12;15038,21;23,14;22,52;100,72;21,66;3;10;79,07;77,69;41,5;77720436;3;4;6;105,77;9;42,94;72,62;0;1
1987;Germany;1123;128;386;128;4;9;17;29;180;453;0;1;0;3;0;3;0;11;6;47;1,10E+12;4,1;43,45;20,68;-0,32;78,22;34,62;0,12;0,64;2,27E+12;29178,14;20,69;1,20E+12;15398,15;22,54;22,68;100,76;21,01;1,28;10;80,03;78,95;40,27;77839920;3;4;6;109,24;9;41,69;72,84;0;1
1988;Germany;1241;108;286;134;2;3;35;12;133;476;0;1;0;1;2;0;1;10;3;53;1,20E+12;4,1;43,8;21,09;-0,35;77,48;35,53;-0,11;0,85;2,36E+12;30141,85;20,44;1,27E+12;16256,17;23,28;22,93;100,76;21,44;1,69;10;80,31;78,97;40,95;78144619;3;4;6;107,02;9;42,53;73;0;3
1989;Germany;1162;116;338;148;9;6;22;15;185;646;9;1;16;31;46;91;13;167;50;134;1,20E+12;4,1;44,24;22,3;-0,62;76,61;36,67;0,37;0,95;2,45E+12;31075,1;19,48;1,36E+12;17263,44;24,25;23,61;100,86;22,92;2,88;10;80,91;78,91;43,67;78751283;3;4;6;104,64;9;45,22;72,98;1;2
1990;Germany;1287;148;397;148;8;6;26;9;227;526;72;25;165;190;364;698;281;736;578;955;1,51E+12;4,1;44,62;22,84;-0,19;75,44;40,34;0,14;1,36;2,58E+12;32427,38;19,1;1,48E+12;18624,99;24,83;24,42;100,27;23,03;3,4;10;78,83;78,13;43,84;79433029;3;4;6;107,78;9;45,86;73,12;29;9
1991;Germany;1348;172;439;149;20;10;41;43;215;561;44;125;148;167;547;902;212;607;615;949;1,59E+12;4,1;45,18;23,66;-0,49;74,72;42,22;0,25;1,25;2,71E+12;33836,42;18,68;1,59E+12;19892,04;25,77;24,89;100,49;24,15;3,09;10;78,7;77,97;42,42;80013896;3;4;6;105,91;9;47,82;73,27;86;8
1992;Germany;1398;189;505;219;29;14;39;22;248;586;67;185;278;190;489;983;171;603;735;960;1,80E+12;4,1;45,63;22,19;-0,5;75,24;44,3;-0,1;0,9;2,76E+12;34227,57;19,22;1,71E+12;21174,04;25,26;25,2;100,5;22,7;5,3;10;79,48;79,11;39,34;80624598;3;4;6;110,88;9;44,89;73,36;114;40
1993;Germany;1562;244;599;211;24;27;56;64;311;598;63;89;254;235;261;1042;162;619;665;1159;1,74E+12;4,1;45,99;20,31;0,05;76,01;46;0,02;0,85;2,73E+12;33670,29;19,35;1,75E+12;21611,59;23,94;24,06;99,95;20,26;3,89;10;79,36;79,66;34,89;81156363;3;4;6;115,21;9;40,58;73,5;112;23
1994;Germany;1507;234;551;302;25;28;74;55;297;665;70;106;336;307;375;1280;185;705;788;1213;1,85E+12;4,1;46,28;21,11;0,16;75,51;48;0,34;0,9;2,80E+12;34358,34;19,31;1,83E+12;22459,8;24,33;24,14;99,84;20,95;2,05;10;80,25;79,22;36,66;81438348;3;4;6;115,99;9;42,06;73,71;126;35
1995;Germany;1454;273;680;330;23;24;72;61;390;793;98;236;175;283;463;1226;185;671;913;1491;2,17E+12;4,2;46,49;21,99;0,41;75,27;51,76;0,47;1,54;2,84E+12;34783,29;19,42;1,89E+12;23164,31;24,33;23,54;99,59;21,59;1,99;10;79,87;79,16;38,18;81678051;3;4;6;121,21;9;43,58;73,92;147;33
1996;Germany;1778;365;858;430;27;65;105;80;525;810;104;222;212;330;395;1366;221;719;931;1786;2,09E+12;4,2;46,65;22,86;0,71;76,02;54,23;0,62;2,43;2,86E+12;34967,48;19,71;1,92E+12;23459,2;23,26;23,03;99,29;22,15;0,59;10;80,08;79,14;39,39;81914831;3;4;6;116,82;9;45,01;74,13;172;31
1997;Germany;2028;375;1019;491;23;53;120;110;756;799;124;380;291;417;708;1285;194;932;822;1832;1,84E+12;4,3;46,8;25,36;1,08;75,55;55,53;0,84;2,24;2,92E+12;35539,13;19,35;1,96E+12;23860,67;23,38;22,65;98,92;24,28;0,28;10;80,13;78,75;43,34;82034771;3;4;6;110,19;9;49,64;74,34;177;31
1998;Germany;2131;403;1163;424;17;110;152;102;851;753;126;316;381;428;749;1303;232;991;922;2157;1,86E+12;4,07;46,95;26,41;1,23;74,75;57,16;1,32;4,33;2,97E+12;36251,19;19,1;2,00E+12;24411,5;24,02;22,8;98,77;25,18;0,68;10;81,45;80,21;45,34;82047195;3;4;6;110,37;9;51,58;74,55;174;29
1999;Germany;2198;415;1256;477;18;144;154;167;1221;857;193;355;346;434;846;1401;196;971;855;2237;1,82E+12;4,08;47,14;26,96;0,55;75,44;59,23;3,92;6,35;3,03E+12;36913,19;19,25;2,05E+12;24911,42;24;23,04;99,45;26,41;0,34;10;88,55;85,51;46,38;82100243;3;4;6;106,89;9;53,37;74,76;159;21
2000;Germany;2447;533;1513;423;15;356;245;191;1374;897;153;427;453;411;960;1362;214;942;949;2208;1,61E+12;4,08;47,41;30,85;0,17;75,34;61,69;12,76;5,05;3,12E+12;37930,49;19,04;2,10E+12;25510,13;24,49;23,11;99,83;30,68;-0,47;10;88,21;85,13;53,98;82211508;3;4;6;99,68;9;61,53;74,97;140;18
2001;Germany;2685;507;1925;542;20;323;269;193;1791;834;132;430;386;417;758;1483;218;974;986;2151;1,60E+12;4,09;47,92;31,84;1,63;75,41;64,24;2,93;3,61;3,17E+12;38509,61;18,95;2,16E+12;26196,5;22,96;21,78;98,37;30,22;1,29;10;87,18;85,27;54,41;82349925;3;4;6;99,67;9;62,06;75,17;169;19
2002;Germany;2238;540;1640;504;14;241;279;126;1598;659;194;717;456;402;986;1368;184;1080;810;2232;1,70E+12;4,1;48,43;32,59;4,25;74,97;65,82;2,48;0,83;3,16E+12;38368,62;19,23;2,17E+12;26364,9;20,78;20,12;95,75;28,34;1,38;10;86,66;85,17;53,47;82488495;3;4;6;100,72;9;60,93;75,37;197;7
2003;Germany;2196;573;1949;435;21;225;260;109;1647;690;164;829;491;520;1629;1384;220;1091;955;2373;2,05E+12;4,1;48,94;32,81;3,77;75,79;66,45;2,62;1,57;3,14E+12;38073,76;19,33;2,19E+12;26523,63;20,44;19,52;96,23;29,04;1,33;10;86,1;84,54;54,33;82534176;3;4;6;106,13;9;61,85;75,58;197;15
2004;Germany;2252;483;1811;468;20;154;246;141;1634;711;153;834;655;590;1730;1368;198;1201;870;2388;2,36E+12;4,11;49,44;35,71;5,2;74,96;66,78;-0,73;0,32;3,18E+12;38535,17;18,82;2,28E+12;27584,71;19,84;19,09;94,8;30,51;1,1;10;85,07;83,54;57,87;82516260;3;4;6;107,65;9;66,23;75,78;157;12
2005;Germany;1804;388;1735;329;12;197;199;82;1314;560;150;995;698;635;2001;1379;221;1391;853;2421;2,40E+12;4,11;49,89;38,06;5,2;75,31;67,14;2,1;3,12;3,20E+12;38835,38;18,78;2,31E+12;27976,47;19,49;19,08;94,8;32,86;0,42;10;84,47;82;61,42;82469422;3;4;6;105,22;9;70,92;75,98;161;9
2006;Germany;1613;366;1497;344;11;233;255;102;1306;606;171;922;678;731;1776;1476;235;1364;999;2673;2,54E+12;4,12;50,36;41,43;5,42;74,01;66,77;2,92;4,95;3,32E+12;40362,29;18,33;2,43E+12;29443,11;20,57;19,8;94,58;36,02;0,4;10;83,4;80,66;67,33;82376451;3;4;6;104,25;9;77,45;76,18;176;13
2007;Germany;1500;385;1375;333;13;241;214;84;867;472;213;293;381;534;370;1486;258;1582;889;2623;2,91E+12;4,19;50,8;43,32;6,77;71,85;65,33;1,49;4,11;3,42E+12;41622,36;17,86;2,54E+12;30824,81;21,38;20,06;93,23;36,55;1,76;10;83,13;80,45;69,45;82266372;3;4;6;105,77;9;79,87;76,38;153;3
2008;Germany;1491;396;1357;320;17;214;205;79;694;450;264;299;358;601;345;1590;286;1644;852;2779;3,14E+12;4,25;51,2;43,8;6,07;72,48;62,05;0,83;2,63;3,46E+12;42102,85;18,26;2,57E+12;31307,54;21,45;20,3;93,93;37,73;0,91;10;81,71;79,15;70,54;82110097;3;4;6;105,89;9;81,52;76,58;188;13
2009;Germany;1491;448;1128;326;12;236;181;39;650;352;267;342;434;613;417;1649;300;1643;940;2924;2,86E+12;4,65;51,53;38,12;5,01;76,43;66,38;1,67;2,94;3,26E+12;39804,92;19,99;2,50E+12;30534,84;18,56;19,27;94,99;33,11;1,85;10;81,08;79,79;60,23;81902307;3;4;6;106,47;9;71,23;76,77;170;6
2010;Germany;1367;437;1068;285;11;236;188;26;638;336;297;368;411;593;436;1663;329;1822;960;2964;2,87E+12;4,68;51,79;42,57;5,26;74,67;65,45;2,53;4,32;3,40E+12;41531,93;19,56;2,62E+12;31987,51;20,07;19,54;94,74;37,3;0,65;10;79,73;78,26;68,12;81776930;3;4;6;100;9;79,87;76,97;180;4
2011;Germany;1300;361;1029;285;9;210;227;20;555;325;282;428;480;781;470;1787;326;2030;1054;3095;3,18E+12;4,54;52,01;45,06;4,91;73,46;63,57;2,6;2,88;3,53E+12;43969,26;19,07;2,76E+12;34413,4;21,64;20,37;95,09;40,15;1,07;10;78,8;77,83;72,88;80274983;3;4;6;98,9;9;85,21;77,16;185;3
2012;Germany;1490;417;889;316;12;303;191;12;555;259;294;438;496;763;487;1824;373;2100;1072;3145;3,00E+12;4,67;52,1;46,31;6,1;74,18;61,87;1,86;2,81;3,54E+12;44070,92;19,28;2,81E+12;34953,7;19,72;20,32;93,9;40,21;1,5;10;77,86;77,85;72,46;80425823;3;4;6;95,24;9;86,51;77,17;237;3
2013;Germany;1803;378;1101;265;9;321;199;27;562;241;379;479;567;944;516;1960;352;2315;1120;3378;3,17E+12;4,46;52,13;45,42;5,76;74,19;59,99;1,81;2,5;3,56E+12;44139,03;19,63;2,88E+12;35667,77;20,05;19,9;94,24;39,66;1,97;10;78,13;78,14;70,36;80645605;3;4;6;97,58;9;85,08;77,18;228;1
2014;Germany;1887;333;1003;281;12;316;159;31;714;248;396;573;658;883;501;2185;437;2518;1109;3555;3,29E+12;4,49;52,24;45,62;6,62;73,01;57,73;0,51;2,77;3,64E+12;44933,72;19,59;2,99E+12;36873,18;20,37;20,04;93,38;39;1,86;10;78,92;78,51;69,55;80982500;3;4;6;98,23;9;84,62;77,19;221;1
2015;Germany;1925;303;1079;253;13;362;172;27;720;253;440;597;833;905;584;2255;449;2844;1104;3623;2,85E+12;4,39;52,52;46,85;7,56;72,44;55,45;1,86;3,9;3,70E+12;45321,4;19,56;3,10E+12;37937,96;20;20;92,44;39,29;1,74;10;80,43;79,07;70,74;81686611;3;4;6;92,52;9;86,14;77,2;253;2
2016;Germany;2060;293;1118;259;25;433;227;57;642;326;527;722;738;1001;734;2494;513;3355;1318;3793;2,95E+12;4,39;52,91;46,02;7,36;72,42;55,11;1,81;3,15;3,78E+12;45959,57;19,78;3,21E+12;38995,93;20,21;20,31;92,64;38,66;1,18;10;80,17;79,32;68,93;82348669;3;4;6;93,99;9;84,68;77,22;271;2
2017;Germany;1122;166;733;132;27;311;104;27;375;197;600;728;792;966;712;2519;552;3201;1270;3558;3,12E+12;4,39;53,43;47,4;7,1;72,15;53,72;2,28;3,76;3,88E+12;46916,82;19,86;3,33E+12;40263,09;20,75;20,52;92,9;40,3;1,05;10;79,34;78,85;71,4;82657002;3;4;6;94,78;9;87,69;77,26;376;3
1980;India;3;0;0;0;0;0;0;0;0;0;33;3;18;38;17;217;241;120;69;32;1,69E+11;2,6;75;6,14;-3,11;87,5;0,31;0,04;0,04;2,96E+11;422,9;9,65;1,47E+12;2108,98;21,08;19,68;108,58;9,25;11,51;11;60,34;59,04;12,59;698952844;2;5;6;;7;15,38;23,1;0;0
1981;India;6;0;0;0;0;0;0;0;2;2;34;2;18;35;17;272;234;174;72;37;1,74E+11;2,6;74,88;5,94;-2,64;85,77;0,32;0,05;0,05;3,13E+11;438,01;9,63;1,73E+12;2415,7;20,83;19,87;106,6;8,57;10,83;11;54,76;58,26;12,26;715384993;2;5;6;;7;14,51;23,42;1;0
1982;India;1;0;1;1;0;0;0;0;0;0;29;1;14;20;20;242;179;180;62;30;1,78E+11;3,05;74,74;5,98;-2,16;85,32;0,34;0,04;0,04;3,24E+11;442,8;10,17;1,93E+12;2630,57;20,98;21,01;106,3;8,14;8,1;11;57,7;66,14;12,03;732239504;2;5;6;;7;14,13;23,65;0;0
1983;India;6;0;1;0;0;0;0;0;0;3;18;8;13;36;27;283;216;204;50;32;1,93E+11;3,15;74,55;5,84;-2,02;85,64;0,36;0;0;3,48E+11;464,18;10,09;2,24E+12;2990,68;20,05;20,57;105,68;7,85;8,55;11;64,55;63,68;10,63;749428958;2;5;6;;7;13,69;23,88;0;0
1984;India;3;2;0;0;0;0;0;0;0;0;34;10;17;39;40;244;190;227;76;38;1,87E+11;2,7;74,24;6,28;-1,44;84,96;0,38;0,01;0,01;3,61E+11;470,97;10,36;2,51E+12;3270,13;21,03;20,85;105,99;7,73;7,92;11;64,67;63,12;11,65;766833410;2;5;6;;7;14,01;24,11;1;0
1985;India;17;0;2;0;0;0;0;0;0;0;28;9;21;28;44;275;189;240;71;38;2,04E+11;2,9;73,79;5,25;-2,39;83,91;0,4;0,05;0,05;3,80E+11;484,64;10,93;2,83E+12;3609,38;22,65;21,8;106,56;7,65;7,19;11;64,06;64,97;10,78;784360008;2;5;6;;7;12,9;24,35;1;0
1986;India;8;2;2;0;0;0;0;0;0;0;19;12;20;53;31;250;230;263;58;39;2,20E+11;3;73,75;5,2;-1,83;84,71;0,43;0,05;0,05;3,98E+11;496,64;11,55;3,17E+12;3947,27;22,08;22,9;106,79;7,02;6,79;11;67,69;72,72;9,97;801975244;2;5;6;;7;12,22;24,59;0;0
1987;India;10;2;3;0;0;0;0;0;2;0;41;10;19;42;56;257;203;310;87;39;2,46E+11;2,9;73,45;5,6;-1,38;83,38;0,46;0,08;0,08;4,14E+11;505,18;11,93;3,59E+12;4382,74;24,05;24,44;107,43;6,98;9,33;11;72,25;69,56;10,02;819682102;2;5;6;;7;12,58;24,82;1;0
1988;India;7;2;12;3;0;0;0;0;3;4;40;15;17;65;53;238;196;300;45;36;2,61E+11;2,7;72,95;6,04;-1,42;81,72;0,5;0,03;0,03;4,54E+11;542,05;11,6;4,25E+12;5073,23;25,12;23,57;106,84;7,46;8,23;11;70,72;70,23;10,9;837468930;2;5;6;;7;13,49;25,06;2;0
